File Name,ID,Signature Name,Date signed,Artist Category,Page Discription,Language,Label (Page Number),Years Lived
Autograph_Album_SignaturePages1,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r5""",Léon Gozlan,1853-1854 ,Novelist and playwright ,Commentary,French,1,1803-1866
Autograph_Album_SignaturePages3,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r7""",Théophile Gautier,1853-1854,Poet and dramatist,Commentary and Drawing,French,3,1811-1872
Autograph_Album_SignaturePages5,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r9""",Gérald de Nerval,1 November 1854,Writer,Poems,French,5,1808-1855
Autograph_Album_SignaturePages7,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r11""",Hippolyte Lucas,1854-1855,Entomologist,Commentary,French,7,1807-1878
Autograph_Album_SignaturePages9,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r13""",François Bonvin,1854-1855,Painter,Drawing,French,9,1817-1887
Autograph_Album_SignaturePages11,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r15""",Théodore Barrièrre,1854-1856,Playwright,Holograph poem,French,11,1825-1877
Autograph_Album_SignaturePages13,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r17""",Molé́-Gentilhomme,1854-1856,Writer,Commentary,French,13,1813-1856 
Autograph_Album_SignaturePages15,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r19""",Jules Janin,1854-1856,Writer and critic,Commentary,French,15,1804-1874
Autograph_Album_SignaturePages17,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r21""",Philippe Auguste Jeanron,1854-1856,Painter and Curator,Drawing,French,17,1809-1877
Autograph_Album_SignaturePages19,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r23""",P. L. Jacob,1854-1856,Writer and journalist,Commentary,French,19,1806-1884
Autograph_Album_SignaturePages21,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r25""",Philippe de Chennevières,1854-1856,Writer and art historian,Commentary,French,21,1820-1899
Autograph_Album_SignaturePages23,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r27",Giuseppe Verdi,1854-1856,Composer,Music,French,23,1813-1901
Autograph_Album_SignaturePages25,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r29""",Léon Battu,1855-1856,Dramatist,Commentary,French,25,1827-1857
Autograph_Album_SignaturePages27,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r31""",Alphonse Karr,1855-1856,"Writer, critic, and journalist",Commentary,French,27,1808-1890
Autograph_Album_SignaturePages29,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r33""",Edouard Hanquet,1855-1856,Poet,Poem,French,29,N/a
Autograph_Album_SignaturePages31,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r35""",Bénédict Masson,1855-1856,Painter,Drawing,French,31,1819-1893
Autograph_Album_SignaturePages33,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r37""",Auguste Luchet,25 February 1856,Playwright and journalist,Commentary,French,33,1806-1872
Autograph_Album_SignaturePages35,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r39""",Alfred Busquet,1855-1856,Writer and poet,Poem,French,35,1855-1856
Autograph_Album_SignaturePages37,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r41""",Évariste Vital Luminais,1855-1856,Painter,Drawing,French,37,1821-1896
Autograph_Album_SignaturePages39,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r43""",Joseph Méry,1855-1856,Writer and jounralist,Commentary,French,39,1798-1865 
Autograph_Album_SignaturePages41,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r45""",Gustave Vaëz,1855-1856,Playwright and librettist,Commentary,French,41,1812-1862
Autograph_Album_SignaturePages43,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r47""",Pierre Andrieu,1855-1856,Painter,Drawing,French,43,1821-1892
Autograph_Album_SignaturePages45,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r49""",Félix-Auguste Duvert,9 March 1853,Playwright,Commentary,French,45,1795-1876
Autograph_Album_SignaturePages47,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r51""",Félicien David,25 February 1853,Composer,Music,French,47,1810-1876
Autograph_Album_SignaturePages49,"""https://colenda.library.upenn.edu/items/ark:/81431/p3w08x23m/range/r53""",Charkes Baudelair,     1853-1855,Poet and writer,Holograph poem,French,49,1821-1867
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,         ,,
